hash,msg,insertions
faf6633c14c2a86e40d03e856a10a88573a2cd8a,"help folk figure out how to setup to win32 build env.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358104 13f79535-47bb-0310-9956-ffa450edef68",16
22474cd5414d568230cdb244741cc95b32777220,"Fixed: https://jira.logicblaze.com/jira/browse/AMQ-426
JMS api object now implement a toString() that can be used to correlate back to log messages on the message broker.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358371 13f79535-47bb-0310-9956-ffa450edef68",47
b58da3b1bea8242aa94c75dee340e210c6f5be74,"Implemented a toString() method


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358375 13f79535-47bb-0310-9956-ffa450edef68",14
ac18388cf201731fd48185a6d5dbfa6126eedf35,"adding m2 poms. 


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358409 13f79535-47bb-0310-9956-ffa450edef68",151
cbcfcc840e45a0073f3e418fac917c6eedcd413b,"Tweeked pom so that tests pass.  LDAP test still fails need to investigate further.



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358430 13f79535-47bb-0310-9956-ffa450edef68",28
b195cc79851f246e887b59b04a587105a7b65331,"added missing dependencies on rar file (spring and xbean-spring jars)

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358436 13f79535-47bb-0310-9956-ffa450edef68",15
e2e1cb529c9be1f9380d4e6a4cb98795082e3e23,"Added a m2 pom for the activemq-web module.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358477 13f79535-47bb-0310-9956-ffa450edef68",81
de06fc6e9ebe3c0fd02f997dce0e9d800738cc47,"Revert back to javax.jms.Destination instead of Strings and added support
for a DestinationMarshaller

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358550 13f79535-47bb-0310-9956-ffa450edef68",268
2c4274b997a84807d94e49a8482ec58a74388938,"Marcus reported on the mailing list that we need to provide dispatching behaviour like 3.x did to work on webshere 5.x


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358823 13f79535-47bb-0310-9956-ffa450edef68",9
a2601e64feab8a5e8c76acec2c7387715414f819,"Marcus reported on the mailing list that we need to provide dispatching behaviour like 3.x did to work on webshere 5.x


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@358824 13f79535-47bb-0310-9956-ffa450edef68",8
5cea195af29c5987e457af197312ecbfaf6c241b,"Applied patch suggested by marcusp@absa.co.za on the dev mailing list.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359239 13f79535-47bb-0310-9956-ffa450edef68",3
80d129918854d1409869683d284797233c10d9cd,"Added Pom.xml by Henry Isidro

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359468 13f79535-47bb-0310-9956-ffa450edef68",386
f99ccc4e7d02e081ff1eb7e2d4d7de88a01ec034,"Added Pom.xml created by Henry Isidro. However, there is still an issue in creating the assembly in maven 2. Please see http://jira.codehaus.org/browse/MASSEMBLY-37

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359472 13f79535-47bb-0310-9956-ffa450edef68",311
6b52b198bf2215ddfaf8997a86437c726ba40290,"Added Pom.xml created by Henry Isidro.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359474 13f79535-47bb-0310-9956-ffa450edef68",103
bc1890c943c906955986f8506a8f0e6254cbabb2,"Added pom.xml created by Henry Isidro.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359475 13f79535-47bb-0310-9956-ffa450edef68",63
a59fee46d54fb2bbbcb829f4756c483a0ea9f317,"Do better handling of the reference counting during dispatch.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359548 13f79535-47bb-0310-9956-ffa450edef68",6
3062f751d7f4e27294443e2ad4aefd5374ce0566,"added extra jar for testing of connection pool 

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359549 13f79535-47bb-0310-9956-ffa450edef68",5
c4d18afb1431b61ac61e0e56027ec60bc45fcf02,"added sysunit as a dependency ready to start adding some sysunit tests

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359552 13f79535-47bb-0310-9956-ffa450edef68",6
1c14a8bc0e7428e178703e7c3c2f374fbe5bffc4,"missed this one


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359602 13f79535-47bb-0310-9956-ffa450edef68",81
f145aa1f075707c1733d625147d430b37d6625b3,"moved test resources the m2 directory layout

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359610 13f79535-47bb-0310-9956-ffa450edef68",76
ff457e227a2e1e7aa4592e0e125753bd8293021e,"- Added test support for multiple consumers and producers
- Added test cases for queue and topic subscriptions
- Added test cases for the different dispatch policies

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@359769 13f79535-47bb-0310-9956-ffa450edef68",814
ffb9d2aabb8ade109d32df3f95be3bb1a24f970b,"allow the RedeliveryPolicy to be configured on an ActiveMQConnectionFactory

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360105 13f79535-47bb-0310-9956-ffa450edef68",22
eac597346ca2d5d3fab8c890c24902f744892460,"allows for the specifying of ActiveMQ specific connection headers

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360111 13f79535-47bb-0310-9956-ffa450edef68",4
1e01cdd00c2834b898ba512dccaf2eaa7c270a69,"Updated/Added more apache copyright headers

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360183 13f79535-47bb-0310-9956-ffa450edef68",17
1cd585e00e1e371d7c87c36c930d03a14f5e2b03,"Add scm info to activecluster

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360266 13f79535-47bb-0310-9956-ffa450edef68",6
3516e1005a58b7da939aa7587b4fc6fc56b66ea4,"better tearDown: allows setup and tear down to be call multiple times in a single testcase.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@360315 13f79535-47bb-0310-9956-ffa450edef68",2
d06b32bab3ad3c98c7802ce3955ab8512d449cde,"PR: AMQ-461
Submitted by: Bill Dudney
m2 poms need patches

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365390 13f79535-47bb-0310-9956-ffa450edef68",12
01bf2d1833754d24f6608e4c920654d671764a33,"added stomp support by default

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365634 13f79535-47bb-0310-9956-ffa450edef68",2
7dbbe0c854d7821d58422f00b75b017b4cdc8ff4,"Fix test case


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365713 13f79535-47bb-0310-9956-ffa450edef68",8
0a8efc977bcc3fe60c3f703392db315e119f36b5,"added test case to show the use of individual dead letter strategy via XML

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365885 13f79535-47bb-0310-9956-ffa450edef68",97
c62a775af4e45e8dcb71f811beaa9941f57eafdc,"added more edge cases to the DestinationMap test case 

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365890 13f79535-47bb-0310-9956-ffa450edef68",7
e6efdb19553b390becf3c3c7d7329ff87a440f6f,"Fix the security test.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365965 13f79535-47bb-0310-9956-ffa450edef68",3
9b64c37c4ca6a5ad73cfca071c7e894320c89810,"Added a SubscriptionInfo[] getAllSubscriptions()  to the TopicMessageStore.  We will need this if we want to eagerly load the durable subs when the broker starts up.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@365993 13f79535-47bb-0310-9956-ffa450edef68",80
935ce6596843f0b505a1f79dc30b9f9984853f24,"added test case for AMQ-464

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@366119 13f79535-47bb-0310-9956-ffa450edef68",30
6f845eeb853f7eb43cffe28a550d9a9a1732b21f,"first spike of the code generated OpenWire.Net code and a NAnt build

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@366537 13f79535-47bb-0310-9956-ffa450edef68",7046
ccd1113a79fb4c3a9757db29474588f293ab3ca2,"updated OpenWire.Net generation script

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@366539 13f79535-47bb-0310-9956-ffa450edef68",8
579a1d41300b5d1fc35947b8beb1b16bc2ea2dd2,"- Added test cases for multiple brokers

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367253 13f79535-47bb-0310-9956-ffa450edef68",1108
6f4386d1cd63f1e596a8d2553eaa979be2f79197,"latest generated openwire.net code which now compiles OK!

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367314 13f79535-47bb-0310-9956-ffa450edef68",90
be783c36b08deb5c80227c4ad770cd451a9106d8,"Latest auto-generated C code

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367321 13f79535-47bb-0310-9956-ffa450edef68",62
42ec94a247c289f598c525347c920337b1df9fa5,"Latest generated Java code

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367322 13f79535-47bb-0310-9956-ffa450edef68",102
a9e047d92eb00c0c8283523d9e354c992770c457,"Add auto fail support when test hangs

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367460 13f79535-47bb-0310-9956-ffa450edef68",1
aa7435064aca1eabab67dfb5a36157c65a7883a2,"Called super.setUp and super.tearDown. To ensure auto fail is called.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367489 13f79535-47bb-0310-9956-ffa450edef68",2
6397d0560b8bcead0a0141f5608fda7d1c7334c3,"pass on async exceptions to the Exception listener

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367673 13f79535-47bb-0310-9956-ffa450edef68",4
cdbf09ca3e456cc380a442c7e8da29a47acd3968,"disabled tests that were failing.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367774 13f79535-47bb-0310-9956-ffa450edef68",14
0d7046918c184a33f98d51de194a79a094c433c3,"disabled failing test cases

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367781 13f79535-47bb-0310-9956-ffa450edef68",2
39cd4bff1a39c5bad65b70cb87f892796f606c87,"Disabled new failing test case

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@367971 13f79535-47bb-0310-9956-ffa450edef68",2
af9f61015de19f1c506a13e2609676527eefdcd5,"Adding some changes to support master/slave

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@368075 13f79535-47bb-0310-9956-ffa450edef68",252
0b629636d2e4e47847c695b75c8c8d39e1931e18,"just test

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@368910 13f79535-47bb-0310-9956-ffa450edef68",1
eef92026754b0cc94c2b0ba21ece0b531b518b97,"AMQ-484: Restore discoveryUri when replacing TransportConnector with ManagedTransportConnector

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@368911 13f79535-47bb-0310-9956-ffa450edef68",2
4aea40b27cf5fa8b7ecf572b79049ee0ef4b9a4e,"Added the right bit to get ActiveMQ into ci.gbuild.org


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@368951 13f79535-47bb-0310-9956-ffa450edef68",12
c7e4ad74c90739a788a62376150f2d79d2e6ce1d,"Don't need that dep


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@368961 13f79535-47bb-0310-9956-ffa450edef68",6
e45538c1835c42079928359ebe793ddb31c352b2,"Tests needed Derby

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@370003 13f79535-47bb-0310-9956-ffa450edef68",12
5b2e9be749ed8e35822707d4adc3d58bd8b44e0b,"added messageSent() method - so can hook in failure tests in derived unit tests

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@370330 13f79535-47bb-0310-9956-ffa450edef68",10
1c64baadeae996c30f8729479118bd0ee7bb578c,"Disabling StompTest see https://jira.logicblaze.com/jira/browse/AMQ-502


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@371600 13f79535-47bb-0310-9956-ffa450edef68",3
40ce55be77effd7a07010cd04e8f9582ca4377eb,"added extra NPE check

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@372519 13f79535-47bb-0310-9956-ffa450edef68",3
1479c1547592f5d3e25140819afdb51e11c22dbb,"included log4j in the rar bundle

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@372532 13f79535-47bb-0310-9956-ffa450edef68",1
885db67aaa462a890ccf8b90abb2d0a0aeac404f,"added incubation disclaimer

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@372548 13f79535-47bb-0310-9956-ffa450edef68",13
3d18a3dc7bccafa249117a9671297303af09bad0,"made the adapter class configurable on the <journaledJDBC adapterClass=""....""/>

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@372799 13f79535-47bb-0310-9956-ffa450edef68",17
2f944a19e3afad95c5d5bd7764981c5d0575a4ca,"added fix for issue reported on forum: http://forums.activemq.org/posts/list/0/60.page

where on startup we get the following exception when using mysql

java.io.IOException: Can't call commit when autocommit=true 
at org.activemq.util.IOExceptionSupport.create(IOExceptionSupport.java:44) 
at org.activemq.store.jdbc.TransactionContext.close(TransactionContext.java:113) 
at org.activemq.store.jdbc.JDBCPersistenceAdapter.getAdapter(JDBCPersistenceAdapter.java:253) 
at org.activemq.store.jdbc.JDBCPersistenceAdapter.start(JDBCPersistenceAdapter.java:140) 

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@372805 13f79535-47bb-0310-9956-ffa450edef68",5
e6747ead9528e1302daa93706cdb547c3b8209c1,"patch and test case for AMQ-514 to make BrokerInfo and the broker name visible to an ActiveMQConnection

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@373548 13f79535-47bb-0310-9956-ffa450edef68",29
1c5b05ae56ddff67027418f79f773d8cf1487a2a,"set webapp src dir so web files will be included in generated war file

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@373674 13f79535-47bb-0310-9956-ffa450edef68",1
7f634906d07d8f2889cb89f3590d16748df34c41,"log execption and fire to exception listener if exception thrown 
in run() method

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@374101 13f79535-47bb-0310-9956-ffa450edef68",2
4d9ab0cffc7acfdcf0b5e0f256514d3bdf3ccd34,"Added setter for the MBeanServer

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@374137 13f79535-47bb-0310-9956-ffa450edef68",8
fa74c3a85926558f148bc515aa11617323f6f171,"Current incubation status

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@374287 13f79535-47bb-0310-9956-ffa450edef68",99
25f59e76c93c2999a440ed2259892279c01dab25,"Added additional test case for multicasted broker.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@374637 13f79535-47bb-0310-9956-ffa450edef68",368
c146def4642d595cc89bd2ea4d79bdf28af97a23,"Disabled failing test

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@374639 13f79535-47bb-0310-9956-ffa450edef68",2
f367df5b2811e5c9db5a64389227331c4f5d347c,"disabled tests that are failing for me.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@375753 13f79535-47bb-0310-9956-ffa450edef68",13
7e672d4150c8754aca0fea5bb623b247edba655b,"Close the transport if for some reason the connection cannot be accepted.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376044 13f79535-47bb-0310-9956-ffa450edef68",2
b59d0b5938492852661ced5d40f3723488e01615,"Set timestamp on the broker

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376260 13f79535-47bb-0310-9956-ffa450edef68",4
404c73bcc510cdf0028e72b0516aca569344c9ea,"Added toString so that object is esier to view under a debugger.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376855 13f79535-47bb-0310-9956-ffa450edef68",4
96adbc3fbb3ef361f67d4a42467c6f2c629503c2,"Fixing broker DurableConsumerCloseAndReconnectTest, subscriptions were not being added to the result array.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376856 13f79535-47bb-0310-9956-ffa450edef68",6
618d1d5a8898a13d1c7404d48452ffa94487b3ac,"Fixing DurableConsumerCloseAndReconnectTest:
  Added a getter to see if the destination is a pattern 

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376858 13f79535-47bb-0310-9956-ffa450edef68",4
30b2e67b91f36f544ffb3f806acfee00d47e432b,"Fixing DurableConsumerCloseAndReconnectTest, make sure a persistent broker is used.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@376860 13f79535-47bb-0310-9956-ffa450edef68",5
e7106d31b121d0e73e9032ce3dd108528d3f0cee,"Set existing durable destinations on a network connector

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@377421 13f79535-47bb-0310-9956-ffa450edef68",19
3db3863583f366b980fafca7969be4cdff5455e1,"Applied patch from http://issues.apache.org/jira/browse/GERONIMO-1623, Thanks Mats./activemq   Still need to setup a build system for this and have it dynamically download the smart pointer implemenation dependency (BSD lic.)

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@377433 13f79535-47bb-0310-9956-ffa450edef68",7215
84942ae5b02bb7da48e0d23ea13da6a6aececb18,"Added incubation disclaimer.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@377651 13f79535-47bb-0310-9956-ffa450edef68",84
f4fc3e9a6daf9791fb284128acbcbd24c1b5eac5,"Support for jdbc driver mysql-connector-java. However, this uses the DefaultJDBCAdapter.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378000 13f79535-47bb-0310-9956-ffa450edef68",1
57eb1534d8d58d480d356ae9ddc05783b46fe7a0,"Put a dep on activemq-core so it would compile in continuum.  feel free to rollback if that's not right.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378086 13f79535-47bb-0310-9956-ffa450edef68",6
57406ceb786afc3408d89b93a3c5cfd0e7363cdc,"Lets include these files in the rars too.


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378139 13f79535-47bb-0310-9956-ffa450edef68",210
f58a497c16bc4b755f6deab60539752a0a132628,"reverting previous commit


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378151 13f79535-47bb-0310-9956-ffa450edef68",324
aa4c7650659dbe312473ae8e03b3be32d173c6c9,"Added my gpg public key to the key file.  If you are going to be doing releases, you should do the same.



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378157 13f79535-47bb-0310-9956-ffa450edef68",30
974f4172bc96f8ade61efd24b7d2e38695e1b72d,"Bug: clean goal doesn't delete the amq's basedir generated target and xdocs directory.
Fix: Modified clean goal to delete these directories.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378412 13f79535-47bb-0310-9956-ffa450edef68",4
83ec98be8a94e9593bc0db144269cb5ab1d0a160,"Refactor of OpenWire code generation together with move to apache package

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378480 13f79535-47bb-0310-9956-ffa450edef68",269
43112670daf6df9570c7cd2ff126badebe0d61f7,"added base class for auto-generated test cases

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378481 13f79535-47bb-0310-9956-ffa450edef68",216
8b079142598a0eef98bb53a5aad03b41fa397840,"test case to check sending and receiving of messages inside a transaction (http://forums.activemq.org/posts/list/364.page)

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378483 13f79535-47bb-0310-9956-ffa450edef68",180
f82bd11751f8c3c617dc666bd6e6a16399f50c3a,"allow a message to be marked as being persistent or not

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@378590 13f79535-47bb-0310-9956-ffa450edef68",6
e1bdb1d89be0754a27c8fd27707c075fdd2f7ccf,"temporarily disabled a test case (AMQ-583) until we can verify it works on all platforms

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@379074 13f79535-47bb-0310-9956-ffa450edef68",2
72a59c46e52433700243e0bb414ce537585a5f7b,"Making folder stucture match package.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@379175 13f79535-47bb-0310-9956-ffa450edef68",140
e733f71b483a3d1aec17517a69b93d44a72af1d6,"added a sleep before stop

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@379452 13f79535-47bb-0310-9956-ffa450edef68",1
1045fc0c7d2211b3ebdbcc7e28bc170b54d60474,"basic network tests

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@379569 13f79535-47bb-0310-9956-ffa450edef68",205
bef0867d6f0bf4c022a93637be8e69001d97b777,"Adding pom so sandbox stuff can also be resuivly built


git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@379615 13f79535-47bb-0310-9956-ffa450edef68",43
277f3b3d5aef845b7f471661920d26231d6638c2,"added extra check for null pointer exception

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@379725 13f79535-47bb-0310-9956-ffa450edef68",3
7dca720f93dff4b6db578259c310358f6f9067e6,"added better debug logging

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@380104 13f79535-47bb-0310-9956-ffa450edef68",8
e430412f13c5e1d3c2ace13796db2f893dde941f,"added a simple main() that can be run from your IDE easily to run a broker without doing a full multi-project maven build

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@380105 13f79535-47bb-0310-9956-ffa450edef68",49
172b2d11fa504e36fd298c1fda69750f45f2dcef,"Added missing copyright headers.

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@380622 13f79535-47bb-0310-9956-ffa450edef68",848
2a088309a623556940ca3eb3b79f5bc282441ee7,"applied patch from Matz of AMQ-592 for improvements to the C++ client

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381363 13f79535-47bb-0310-9956-ffa450edef68",1937
35e088856d752debe99701e48654c24c6ac97422,"added comment - I'd have thought a Map was better?

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381612 13f79535-47bb-0310-9956-ffa450edef68",3
695a766b5c7efcc755daf0715d05b595584d8ee2,"fix for matchesForwarding Filter (spotted by John Heitmann)

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381627 13f79535-47bb-0310-9956-ffa450edef68",1
3f2c18dbfec26ec361b4ccfd6426d5de6ac901a6,"Added support for browsing Topics

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381645 13f79535-47bb-0310-9956-ffa450edef68",87
e434c1306c86507184de4b764fb684eef749ef7f,"disable failing tests on some platforms

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381690 13f79535-47bb-0310-9956-ffa450edef68",5
eba9e88af8a40c34e9925ea54292b3ba88a8b685,"Excludes the SimpleNetworkTest in project.xml, as it caused the build process to hang in Linux platform

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381868 13f79535-47bb-0310-9956-ffa450edef68",3
d7e80d53065938d0bf44305903e19227fbd0ebb5,"Forgot to add this one.



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@381928 13f79535-47bb-0310-9956-ffa450edef68",37
